,Bacillus pumilus_gapfilled_26,Bacillus pumilus_gapfilled_77,Bacillus pumilus_gapfilled_75,Bacillus pumilus_gapfilled_37,Bacillus pumilus_gapfilled_5,Bacillus pumilus_gapfilled_14,Bacillus pumilus_gapfilled_59,Bacillus pumilus_gapfilled_84,Bacillus pumilus_gapfilled_19,Bacillus pumilus_gapfilled_46,Bacillus pumilus_gapfilled_9,Bacillus pumilus_gapfilled_76,Bacillus pumilus_gapfilled_34,Bacillus pumilus_gapfilled_94,Bacillus pumilus_gapfilled_53,Bacillus pumilus_gapfilled_32,Bacillus pumilus_gapfilled_65,Bacillus pumilus_gapfilled_3,Bacillus pumilus_gapfilled_82,Bacillus pumilus_gapfilled_62,Bacillus pumilus_gapfilled_81,Bacillus pumilus_gapfilled_89,Bacillus pumilus_gapfilled_55,Bacillus pumilus_gapfilled_20,Bacillus pumilus_gapfilled_85,Bacillus pumilus_gapfilled_10,Bacillus pumilus_gapfilled_70,Bacillus pumilus_gapfilled_64,Bacillus pumilus_gapfilled_27,Bacillus pumilus_gapfilled_67,Bacillus pumilus_gapfilled_36,Bacillus pumilus_gapfilled_61,Bacillus pumilus_gapfilled_45,Bacillus pumilus_gapfilled_63,Bacillus pumilus_gapfilled_73,Bacillus pumilus_gapfilled_48,Bacillus pumilus_gapfilled_18,Bacillus pumilus_gapfilled_29,Bacillus pumilus_gapfilled_92,Bacillus pumilus_gapfilled_41,Bacillus pumilus_gapfilled_4,Bacillus pumilus_gapfilled_56,Bacillus pumilus_gapfilled_16,Bacillus pumilus_gapfilled_24,Bacillus pumilus_gapfilled_91,Bacillus pumilus_gapfilled_87,Bacillus pumilus_gapfilled_78,Bacillus pumilus_gapfilled_35,Bacillus pumilus_gapfilled_22,Bacillus pumilus_gapfilled_50,Bacillus pumilus_gapfilled_21,Bacillus pumilus_gapfilled_95,Bacillus pumilus_gapfilled_66,Bacillus pumilus_gapfilled_1,Bacillus pumilus_gapfilled_69,Bacillus pumilus_gapfilled_28,Bacillus pumilus_gapfilled_97,Bacillus pumilus_gapfilled_74,Bacillus pumilus_gapfilled_40,Bacillus pumilus_gapfilled_80,Bacillus pumilus_gapfilled_7,Bacillus pumilus_gapfilled_42,Bacillus pumilus_gapfilled_33,Bacillus pumilus_gapfilled_17,Bacillus pumilus_gapfilled_30,Bacillus pumilus_gapfilled_96,Bacillus pumilus_gapfilled_98,Bacillus pumilus_gapfilled_11,Bacillus pumilus_gapfilled_99,Bacillus pumilus_gapfilled_39,Bacillus pumilus_gapfilled_49,Bacillus pumilus_gapfilled_93,Bacillus pumilus_gapfilled_12,Bacillus pumilus_gapfilled_57,Bacillus pumilus_gapfilled_79,Bacillus pumilus_gapfilled_60,Bacillus pumilus_gapfilled_68,Bacillus pumilus_gapfilled_15,Bacillus pumilus_gapfilled_58,Bacillus pumilus_gapfilled_86,Bacillus pumilus_gapfilled_6,Bacillus pumilus_gapfilled_25,Bacillus pumilus_gapfilled_51,Bacillus pumilus_gapfilled_38,Bacillus pumilus_gapfilled_43,Bacillus pumilus_gapfilled_8,Bacillus pumilus_gapfilled_72,Bacillus pumilus_gapfilled_90,Bacillus pumilus_gapfilled_23,Bacillus pumilus_gapfilled_0,Bacillus pumilus_gapfilled_47,Bacillus pumilus_gapfilled_54,Bacillus pumilus_gapfilled_31,Bacillus pumilus_gapfilled_13,Bacillus pumilus_gapfilled_52,Bacillus pumilus_gapfilled_83,Bacillus pumilus_gapfilled_71,Bacillus pumilus_gapfilled_2,Bacillus pumilus_gapfilled_88
1408.93.peg.219,92.40410667894194,89.59225237340502,91.52494370403227,82.1742678119458,85.02997804878797,84.98669990991404,89.02903395883963,84.40673096293301,94.04571551738289,105.94813431690471,82.27697271828713,84.68015956741195,83.36522916592197,84.15383017712827,82.17426781194547,94.79047282878791,83.0824653958079,92.3148951530333,97.0650844393067,82.75068995869088,83.36522916592203,82.27697271828605,83.36522916592237,100.02085535338797,90.94285423602929,82.40996740757502,86.93559305259178,101.22679686998691,91.9242417428862,78.68739788515963,89.39111133563945,88.49458116954571,91.35961152420408,94.84401749146163,91.73425989029998,130.06947711688602,96.67477417962553,92.0098066987395,97.63832190905977,90.67855776119136,88.09745303423506,91.78979402427554,107.25502703594331,90.3080173331909,84.2147089593919,82.39097743150967,90.54988075202847,85.10273426417425,101.4944226934536,82.17576846943048,104.7855736050736,90.20262651965702,82.27697271828751,95.21705029243861,83.13873658000301,115.96529730356887,93.72874250198593,91.8564811851237,85.02997804879013,100.72038945906912,83.98253356326029,102.15179222690918,116.87630712624619,86.82905226469623,94.22841082452112,91.31549083729237,83.9360779151248,105.18889264882272,82.17426781194564,99.80146025089795,90.98596348835888,82.17426781194555,81.22137656270284,96.90779144291189,82.27697271826791,112.35868603671695,103.64602272201068,84.37684997415415,88.76211107078716,87.6253202350146,111.11372774491826,89.39111133564077,86.19630486865422,83.94218057699365,85.47863529575011,104.93264893702492,82.39097743150843,82.17426781195093,83.98998914434321,81.22730649325206,87.44686993927539,113.58244949400985,87.16295817324395,84.86057090255697,91.7750833462846,90.78265105879294,92.902144074037,100.84957413437999,95.86959971276801
1408.93.peg.1371,92.40410667894197,89.59225237340485,91.52494370403173,82.1742678119458,85.0299780487902,84.98669990988296,89.02903395883979,84.40673096293358,94.04571551738287,105.94813431690467,82.27697271828755,84.68015956741195,83.36522916592197,84.15383017712827,82.17426781194547,94.7904728287879,83.08246539580784,92.31489515303383,97.06508443930666,82.75068995869088,83.36522916592354,82.27697271828586,83.36522916592232,100.02085535338828,90.94285423602929,82.40996740757502,86.93559305259163,101.22679686998575,91.9242417428862,78.68739788515963,89.39111133563904,88.49458116954555,91.35961152420408,94.84401749146208,91.7342598903,130.069477116886,96.67477417962553,92.0098066987398,97.63832190905958,90.67855776118941,88.09745303423489,91.78979402427558,107.2550270359433,90.3080173331909,84.2147089593919,82.3909774315096,90.54988075202837,85.10273426417432,101.49442269345376,82.17576846943048,104.78557360507367,90.20262651965699,82.27697271828782,95.21705029244279,83.13873658000308,115.96529730356879,93.72874250197967,91.85648118512363,85.029978048791,100.72038945906914,83.98253356326235,102.15179222690921,116.87630712624619,86.82905226469563,94.22841082452119,91.31549083729236,83.9360779151342,105.1888926488254,82.17426781194568,99.80146025089617,90.98596348835888,82.17426781194264,81.22137656270306,96.90779144291176,82.27697271827478,112.35868603671665,103.64602272201,84.37684997415415,88.76211107078718,87.62532023501454,111.11372774491826,89.39111133564101,86.19630486865422,83.94218057699429,85.47863529575011,104.93264893702492,82.39097743150843,82.17426781195284,83.98998914434321,81.22730649325206,87.44686993927542,113.58244949400985,87.16295817324395,84.86057090255694,91.77508334628472,90.7826510587928,92.90214407403701,100.84957413438022,95.86959971276801
1408.93.peg.1370,92.40410667894197,89.59225237340485,91.52494370403173,82.1742678119458,85.0299780487902,84.98669990988296,89.02903395883979,84.40673096293358,94.04571551738287,105.94813431690467,82.27697271828755,84.68015956741195,83.36522916592197,84.15383017712827,82.17426781194547,94.7904728287879,83.08246539580784,92.31489515303383,97.06508443930666,82.75068995869088,83.36522916592354,82.27697271828586,83.36522916592232,100.02085535338828,90.94285423602929,82.40996740757502,86.93559305259163,101.22679686998575,91.9242417428862,78.68739788515963,89.39111133563904,88.49458116954555,91.35961152420408,94.84401749146208,91.7342598903,130.069477116886,96.67477417962553,92.0098066987398,97.63832190905958,90.67855776118941,88.09745303423489,91.78979402427558,107.2550270359433,90.3080173331909,84.2147089593919,82.3909774315096,90.54988075202837,85.10273426417432,101.49442269345376,82.17576846943048,104.78557360507367,90.20262651965699,82.27697271828782,95.21705029244279,83.13873658000308,115.96529730356879,93.72874250197967,91.85648118512363,85.029978048791,100.72038945906914,83.98253356326235,102.15179222690921,116.87630712624619,86.82905226469563,94.22841082452119,91.31549083729236,83.9360779151342,105.1888926488254,82.17426781194568,99.80146025089617,90.98596348835888,82.17426781194264,81.22137656270306,96.90779144291176,82.27697271827478,112.35868603671665,103.64602272201,84.37684997415415,88.76211107078718,87.62532023501454,111.11372774491826,89.39111133564101,86.19630486865422,83.94218057699429,85.47863529575011,104.93264893702492,82.39097743150843,82.17426781195284,83.98998914434321,81.22730649325206,87.44686993927542,113.58244949400985,87.16295817324395,84.86057090255694,91.77508334628472,90.7826510587928,92.90214407403701,100.84957413438022,95.86959971276801
1408.93.peg.1788,92.40410667894197,89.59225237340485,91.52494370403173,82.1742678119458,85.0299780487902,84.98669990988296,89.02903395883979,84.40673096293358,94.04571551738287,105.94813431690467,82.27697271828755,84.68015956741195,83.36522916592197,84.15383017712827,82.17426781194547,94.7904728287879,83.08246539580784,92.31489515303383,97.06508443930666,82.75068995869088,83.36522916592354,82.27697271828586,83.36522916592232,100.02085535338828,90.94285423602929,82.40996740757502,86.93559305259163,101.22679686998575,91.9242417428862,78.68739788515963,89.39111133563904,88.49458116954555,91.35961152420408,94.84401749146208,91.7342598903,130.069477116886,96.67477417962553,92.0098066987398,97.63832190905958,90.67855776118941,88.09745303423489,91.78979402427558,107.2550270359433,90.3080173331909,84.2147089593919,82.3909774315096,90.54988075202837,85.10273426417432,101.49442269345376,82.17576846943048,104.78557360507367,90.20262651965699,82.27697271828782,95.21705029244279,83.13873658000308,115.96529730356879,93.72874250197967,91.85648118512363,85.029978048791,100.72038945906914,83.98253356326235,102.15179222690921,116.87630712624619,86.82905226469563,94.22841082452119,91.31549083729236,83.9360779151342,105.1888926488254,82.17426781194568,99.80146025089617,90.98596348835888,82.17426781194264,81.22137656270306,96.90779144291176,82.27697271827478,112.35868603671665,103.64602272201,84.37684997415415,88.76211107078718,87.62532023501454,111.11372774491826,89.39111133564101,86.19630486865422,83.94218057699429,85.47863529575011,104.93264893702492,82.39097743150843,82.17426781195284,83.98998914434321,81.22730649325206,87.44686993927542,113.58244949400985,87.16295817324395,84.86057090255694,91.77508334628472,90.7826510587928,92.90214407403701,100.84957413438022,95.86959971276801
1408.93.peg.3390,92.40410667894207,89.3933833532182,91.52494370403173,82.1742678119458,83.68863463557257,83.73664206611964,89.02903395883979,84.40673096293358,92.34607959787408,105.38285279831348,82.15156272960681,84.68015956741195,83.36522916592213,84.15383017712827,82.17426781194547,94.7904728287879,82.9804655771102,92.31489515303383,97.04508842098012,82.75068995869088,83.36522916592216,82.15156272960661,83.28086871514252,100.02085535338828,90.94285423603478,82.40996740757333,86.90857259388108,101.22679686998706,91.78827604261939,78.09091435635067,89.3911113356406,88.49458116954632,91.35961152420408,94.77654078914937,91.7342598903,130.069477116886,96.67477417962553,91.91899117700929,97.63832190905958,90.67855776118941,88.09745303423489,91.78979402427558,106.83754824737528,90.3080173331909,84.19807352726673,82.39097743150946,90.54988075202837,85.10273426417427,101.37176706444127,82.17576846943048,104.51548460022003,90.20262651965699,82.15156272960662,95.21705029244279,83.13873658000308,115.43259949734289,93.72874250197967,91.85648118512363,85.0299780487905,100.72038945906914,83.9825335632568,102.15179222690921,116.87630712624619,86.82905226469563,94.22446612135666,91.31549083729236,83.73664206611959,105.1888926488254,82.17426781194568,99.80146025089617,90.98596348835888,82.17426781194264,81.22137656270306,96.90779144291211,82.15156272959443,112.35868603671665,103.64602272201,84.37684997415415,88.69806486642707,87.62532023501454,111.11372774491826,89.39111133564045,86.19630486865422,83.94218057699442,85.47863529575011,104.93264893702492,82.39097743150842,82.17426781195284,83.6886346355738,80.79889807771143,87.44686993927552,113.58244949400985,87.15958875928712,84.86057090255694,91.73405177044361,90.78265105879294,92.90214407403701,100.84957413438022,95.86959971276801
1408.93.peg.2187,92.40410667894213,89.59225237340506,91.52494370403173,82.1742678119458,85.02997804878461,84.98669990989197,89.02903395883979,84.40673096293291,94.04571551738286,105.94813431690473,82.27697271828653,84.68015956741195,83.36522916592213,84.15383017712827,82.17426781194547,94.7904728287879,83.08246539580817,92.31489515303383,97.06508443930666,82.75068995869088,83.36522916592202,82.27697271828643,83.36522916592234,100.02085535338828,90.94285423603478,82.4099674075736,86.9355930525915,101.22679686998706,91.92424174288568,78.68739788515977,89.3911113356406,88.49458116954632,91.35961152420408,94.84401749146282,91.7342598903,130.069477116886,96.67477417962553,92.00980669873996,97.63832190905958,90.67855776118941,88.09745303423489,91.78979402427558,107.25502703594327,90.3080173331909,84.21470895939206,82.39097743150946,90.54988075202837,85.10273426417427,101.49442269345343,82.17576846943048,104.78557360507334,90.20262651965699,82.27697271828659,95.21705029244279,83.13873658000308,115.96529730356878,93.72874250197967,91.85648118512363,85.02997804879057,100.72038945906914,83.98253356325696,102.15179222690921,116.87630712624619,86.82905226469563,94.22841082452116,91.31549083729236,83.93607791512125,105.1888926488254,82.17426781194568,99.80146025089617,90.98596348835888,82.17426781194264,81.22137656270306,96.90779144291211,82.27697271827506,112.35868603671665,103.64602272201,84.37684997415415,88.76211107078717,87.62532023501454,111.11372774491826,89.39111133564052,86.19630486865422,83.94218057699442,85.47863529575011,104.93264893702492,82.39097743150842,82.17426781195284,83.98998914434328,81.22730649325185,87.44686993927552,113.58244949400985,87.16295817324395,84.86057090255694,91.77508334628479,90.78265105879294,92.90214407403701,100.84957413438022,95.86959971276801
1408.93.peg.1106,92.40410667894213,89.59225237340506,91.52494370403173,82.1742678119458,85.02997804878461,84.98669990989175,89.02903395883979,84.40673096293291,94.04571551738287,105.94813431690473,82.27697271828653,84.68015956741195,83.36522916592213,84.15383017712827,82.17426781194547,94.7904728287879,83.08246539580817,92.31489515303383,97.06508443930666,82.75068995869088,83.36522916592202,82.27697271828643,83.36522916592234,100.02085535338828,90.94285423603478,82.4099674075736,86.9355930525915,101.22679686998706,91.92424174288568,78.68739788515977,89.3911113356406,88.49458116954632,91.35961152420408,94.84401749146282,91.7342598903,130.069477116886,96.67477417962553,92.00980669873996,97.63832190905958,90.67855776118941,88.09745303423489,91.78979402427558,107.25502703594323,90.3080173331909,84.21470895939206,82.39097743150946,90.54988075202837,85.10273426417427,101.49442269345343,82.17576846943048,104.78557360507334,90.20262651965699,82.27697271828659,95.21705029244279,83.13873658000308,115.96529730356878,93.72874250197967,91.85648118512363,85.02997804879057,100.72038945906914,83.98253356325696,102.15179222690921,116.87630712624619,86.82905226469563,94.22841082452116,91.31549083729236,83.93607791512125,105.1888926488254,82.17426781194568,99.80146025089617,90.98596348835888,82.17426781194264,81.22137656270306,96.90779144291211,82.27697271827506,112.35868603671665,103.64602272201,84.37684997415415,88.76211107078717,87.62532023501454,111.11372774491826,89.39111133564052,86.19630486865422,83.94218057699442,85.47863529575011,104.93264893702492,82.39097743150842,82.17426781195284,83.98998914434314,81.22730649325185,87.44686993927552,113.58244949400985,87.16295817324395,84.86057090255694,91.77508334628479,90.78265105879294,92.90214407403701,100.84957413438022,95.86959971276801
1408.93.peg.3154,92.40410667894213,89.59225237340506,91.52494370403173,82.1742678119458,85.02997804878461,84.98669990989175,89.02903395883979,84.40673096293291,94.04571551738287,105.94813431690473,82.27697271828653,84.68015956741195,83.36522916592213,84.15383017712827,82.17426781194547,94.7904728287879,83.08246539580817,92.31489515303383,97.06508443930666,82.75068995869088,83.36522916592202,82.27697271828643,83.36522916592234,100.02085535338828,90.94285423603478,82.4099674075736,86.9355930525915,101.22679686998706,91.92424174288568,78.68739788515977,89.3911113356406,88.49458116954632,91.35961152420408,94.84401749146282,91.7342598903,130.069477116886,96.67477417962553,92.00980669873996,97.63832190905958,90.67855776118941,88.09745303423489,91.78979402427558,107.25502703594323,90.3080173331909,84.21470895939206,82.39097743150946,90.54988075202837,85.10273426417427,101.49442269345343,82.17576846943048,104.78557360507334,90.20262651965699,82.27697271828659,95.21705029244279,83.13873658000308,115.96529730356878,93.72874250197967,91.85648118512363,85.02997804879057,100.72038945906914,83.98253356325696,102.15179222690921,116.87630712624619,86.82905226469563,94.22841082452116,91.31549083729236,83.93607791512125,105.1888926488254,82.17426781194568,99.80146025089617,90.98596348835888,82.17426781194264,81.22137656270306,96.90779144291211,82.27697271827506,112.35868603671665,103.64602272201,84.37684997415415,88.76211107078717,87.62532023501454,111.11372774491826,89.39111133564052,86.19630486865422,83.94218057699442,85.47863529575011,104.93264893702492,82.39097743150842,82.17426781195284,83.98998914434314,81.22730649325185,87.44686993927552,113.58244949400985,87.16295817324395,84.86057090255694,91.77508334628479,90.78265105879294,92.90214407403701,100.84957413438022,95.86959971276801
1408.93.peg.663,92.40410667894214,89.59225237340506,91.52494370403173,82.1742678119458,85.02997804878623,84.98669990989175,89.02903395883979,84.40673096293291,93.85134523919571,105.94813431690473,82.27697271828653,84.68015956741195,83.36522916592213,84.15383017712827,82.17426781194547,94.7904728287879,83.08246539580817,92.31489515303383,97.06508443930666,82.75068995869088,83.36522916592202,82.27697271828643,83.36522916592234,100.02085535338828,90.94285423603478,82.4099674075736,86.9355930525915,101.22679686998706,91.92424174288568,78.68739788515977,89.3911113356406,88.49458116954632,91.35961152420408,94.84401749146282,91.7342598903,130.069477116886,96.67477417962553,92.00980669873996,97.63832190905958,90.67855776118941,88.09745303423489,91.78979402427558,107.25502703594323,90.3080173331909,84.21470895939206,82.39097743150946,90.54988075202837,85.10273426417427,101.49442269345343,82.17576846943048,104.78557360507334,90.20262651965699,82.27697271828659,95.21705029244279,83.13873658000308,115.96529730356878,93.72874250197967,91.85648118512363,85.02997804879057,100.72038945906914,83.98253356325696,102.15179222690921,116.87630712624619,86.82905226469563,94.22841082452116,91.31549083729236,83.93607791512125,105.1888926488254,82.17426781194568,99.80146025089617,90.98596348835888,82.17426781194264,81.22137656270306,96.90779144291211,82.27697271827506,112.35868603671665,103.64602272201,84.37684997415415,88.76211107078717,87.62532023501454,111.11372774491826,89.39111133564052,86.19630486865422,83.94218057699442,85.47863529575011,104.93264893702492,82.39097743150842,82.17426781195284,83.98998914434314,81.22730649325185,87.44686993927552,113.58244949400985,87.16295817324395,84.86057090255694,91.77508334628479,90.78265105879294,92.90214407403701,100.84957413438022,95.86959971276801
1408.93.peg.767,1.3321810819035445e-12,1.4828464417410097e-13,-9.383283782437993e-14,1.8306787840011551e-13,6.898326483143539e-14,-6.259738287929919e-13,-1.2325588970658473e-13,4.480339208563121e-15,-4.121836742075982e-15,2.3540542079098064e-12,2.505582489600034e-14,-2.2830327906490514e-14,-5.242527703772935e-14,-3.8408386215933914e-13,9.149692749795544e-15,-2.271467669983505e-13,-9.109788805329787e-14,0.0,7.683823906835213e-14,6.944557975913396e-13,1.875621456034881e-13,0.0,-1.3177560020851005e-12,1.0825194116675157e-13,2.6686015257075067e-14,-4.4527267692036776e-13,-3.5810224239960376e-13,4.073447839576308e-14,-1.5754133624511079e-13,1.2713689022829352e-14,-2.4180148348506846e-13,9.126841557002207e-14,9.53037068657497e-13,-7.15866352613689e-15,-3.440253821016446e-13,-4.560547117077462e-12,3.69853884935908e-13,-9.27037405624094e-14,5.2278815138690145e-14,-1.0247775109486954e-12,-2.2477978870162406e-14,7.293193884470431e-14,-7.39841908104267e-15,-4.1168904011304466e-13,2.0503646085727343e-13,-3.174087897773945e-14,2.8617678262579064e-12,-5.4077197068437553e-14,6.139994135441489e-13,-7.595648645509781e-14,-1.4010652830554504e-12,9.775917195907011e-14,1.0483511332408648e-13,5.955499506336508e-14,-6.01179096605646e-13,-2.407650300419409e-12,-4.3570182549517966e-14,-3.729383228627828e-12,-2.1621370067964298e-14,-4.8563141270359034e-14,-2.7872768149977557e-13,6.747933360359043e-15,5.224304476171032e-13,3.0007213560874593e-12,-8.242691033327385e-13,-7.539796201017146e-14,7.766014472726112e-14,0.0,-1.3033014283128738e-13,9.083642427589655e-14,4.207898662847585e-14,-1.28129325820576e-14,7.162299438477267e-14,-3.057112017254786e-14,8.052469585594323e-13,-2.3013977155018665e-12,-1.0397364234711298e-13,-3.442110833475883e-14,4.382946268778059e-13,8.946020461887357e-13,-2.0753140345696615e-13,-1.2865416393239728e-14,7.34305460416735e-13,1.2922385026556683e-12,0.0,5.002827811845765e-15,-3.184301532447164e-14,3.2247507832424354e-13,-1.9980211041290586e-13,1.3414148647939887e-13,-1.0667636677739844e-14,4.3755400832384765e-13,-2.2780406798273457e-13,-1.0141738380677305e-13,-5.656992187114877e-13,1.3468460317529729e-13,5.5068758819368455e-14,1.4758803799253614e-14,7.977739000560835e-14
