,Achromobacter piechaudii_gapfilled_527
742159.3.peg.2436,174.19082324166135
742159.3.peg.4894,174.19082324166135
742159.3.peg.4294,174.19082324166135
742159.3.peg.4321,174.19082324166135
742159.3.peg.2716,174.19082324166135
742159.3.peg.3994,174.19082324166135
742159.3.peg.854,174.19082324166135
742159.3.peg.2333,174.19082324166135
742159.3.peg.267,174.19082324166135
742159.3.peg.1574,174.19082324166135
742159.3.peg.4525,174.19082324166135
742159.3.peg.5255,173.73455087963507
742159.3.peg.1206,174.19082324166126
742159.3.peg.4676,174.1908232416612
742159.3.peg.553,172.7255971829958
742159.3.peg.5045,166.45688565015695
742159.3.peg.836,174.1908232416617
742159.3.peg.4990,174.1908232416617
742159.3.peg.1750,174.1908232416617
742159.3.peg.2431,174.1908232416617
742159.3.peg.5358,174.1908232416617
742159.3.peg.2480,174.1908232416617
742159.3.peg.2564,174.1908232416617
742159.3.peg.5459,174.1908232416617
742159.3.peg.1244,174.1908232416617
742159.3.peg.61,174.1908232416617
742159.3.peg.924,174.1908232416617
742159.3.peg.1870,174.1908232416617
742159.3.peg.4627,174.1908232416617
742159.3.peg.1653,173.43392038590795
742159.3.peg.335,174.1908232416617
742159.3.peg.1233,174.1908232416617
742159.3.peg.1913,174.1908232416617
742159.3.peg.4024,174.1908232416617
742159.3.peg.624,174.1908232416617
742159.3.peg.159,174.1908232416617
742159.3.peg.1144,174.1908232416617
742159.3.peg.4848,174.1908232416617
742159.3.peg.3013,174.1908232416617
742159.3.peg.4939,174.1908232416617
742159.3.peg.1235,174.1908232416617
742159.3.peg.3694,173.73455087963538
742159.3.peg.3021,174.1908232416617
742159.3.peg.1298,174.1908232416617
742159.3.peg.4266,174.1908232416617
742159.3.peg.4712,174.1908232416617
742159.3.peg.2023,174.1908232416617
742159.3.peg.4753,174.1908232416617
742159.3.peg.4156,174.1908232416617
742159.3.peg.5410,173.6091568788936
742159.3.peg.1651,174.19082324166166
742159.3.peg.4339,174.19082324166166
742159.3.peg.2598,174.19082324166166
742159.3.peg.4522,174.19082324166166
742159.3.peg.570,174.19082324166166
742159.3.peg.1300,174.19082324166166
742159.3.peg.4828,174.19082324166166
742159.3.peg.3784,174.19082324166166
742159.3.peg.721,174.19082324166166
742159.3.peg.1915,174.19082324166166
742159.3.peg.1134,174.19082324166166
742159.3.peg.2433,174.19082324166166
742159.3.peg.2863,174.19082324166166
742159.3.peg.1293,174.19082324166166
742159.3.peg.3201,174.19082324166166
742159.3.peg.2985,174.19082324166166
742159.3.peg.1524,174.19082324166166
742159.3.peg.5003,174.19082324166166
742159.3.peg.1257,174.19082324166166
742159.3.peg.3644,174.19082324166166
742159.3.peg.2059,174.19082324166166
742159.3.peg.3827,174.19082324166166
742159.3.peg.966,174.19082324166166
742159.3.peg.2831,174.1908232416614
742159.3.peg.5212,174.1908232416614
742159.3.peg.1449,174.1908232416614
742159.3.peg.4082,174.1908232416614
742159.3.peg.4892,174.1908232416614
742159.3.peg.1850,172.6604120980394
742159.3.peg.3279,174.19082324166013
742159.3.peg.3364,174.19082324166013
742159.3.peg.401,174.19082324166013
742159.3.peg.1190,174.19082324166013
742159.3.peg.2701,174.19082324166013
742159.3.peg.985,174.19082324166013
742159.3.peg.1146,174.19082324166013
742159.3.peg.3146,174.19082324166018
742159.3.peg.5243,174.19082324166018
742159.3.peg.823,174.19082324166018
742159.3.peg.4366,174.19082324166018
742159.3.peg.1305,174.19082324166018
742159.3.peg.5090,174.19082324166018
742159.3.peg.4920,174.19082324166018
742159.3.peg.2226,174.19082324166018
742159.3.peg.266,174.19082324166018
742159.3.peg.3893,174.19082324166018
742159.3.peg.915,174.19082324166018
742159.3.peg.5282,174.19082324166018
742159.3.peg.5004,174.19082324166018
742159.3.peg.3634,174.19082324166206
742159.3.peg.3885,174.19082324166197
742159.3.peg.1823,174.19082324166197
742159.3.peg.2486,174.19082324166197
742159.3.peg.1956,153.69778521323164
742159.3.peg.616,174.19082324166322
742159.3.peg.2958,174.19082324166314
742159.3.peg.1527,174.19082324166314
742159.3.peg.835,174.19082324166314
742159.3.peg.2015,174.19082324166314
742159.3.peg.4479,174.19082324166314
742159.3.peg.2540,174.19082324166314
742159.3.peg.284,174.19082324166314
742159.3.peg.4560,174.19082324166314
742159.3.peg.3600,174.19082324166314
742159.3.peg.19,174.19082324166314
742159.3.peg.3429,174.19082324166314
742159.3.peg.4192,174.19082324166314
742159.3.peg.1963,153.69778521323207
742159.3.peg.4338,174.19082324166325
742159.3.peg.1383,174.19082324166314
742159.3.peg.2130,174.19082324166314
742159.3.peg.5012,174.19082324166314
742159.3.peg.2792,174.19082324166314
742159.3.peg.2138,174.19082324166314
742159.3.peg.1035,174.19082324166314
742159.3.peg.3355,174.19082324166314
742159.3.peg.220,174.19082324166314
742159.3.peg.5237,174.19082324166737
742159.3.peg.5369,174.19082324166737
742159.3.peg.1200,174.19082324166737
742159.3.peg.4376,159.91819013198966
742159.3.peg.46,174.19082324166183
742159.3.peg.1427,174.19082324166183
742159.3.peg.1614,174.19082324166183
742159.3.peg.3872,174.19082324166183
742159.3.peg.2818,174.19082324166183
742159.3.peg.1077,174.19082324166183
742159.3.peg.2455,174.19082324166183
742159.3.peg.4022,173.60915687889363
742159.3.peg.2461,174.19082324166172
742159.3.peg.3249,174.19082324166172
742159.3.peg.4818,174.19082324166172
742159.3.peg.3072,155.06665273435337
742159.3.peg.203,164.1721692273395
742159.3.peg.944,174.19082324166206
742159.3.peg.4319,174.19082324166206
742159.3.peg.1879,174.1908232416621
742159.3.peg.3853,174.1908232416621
742159.3.peg.2163,174.1908232416621
742159.3.peg.3094,174.1908232416621
742159.3.peg.2392,174.1908232416621
742159.3.peg.2304,174.1908232416621
742159.3.peg.4344,174.1908232416621
742159.3.peg.480,174.1908232416621
742159.3.peg.131,174.1908232416621
742159.3.peg.3036,174.1908232416621
742159.3.peg.3245,174.1908232416621
742159.3.peg.4258,174.1908232416621
742159.3.peg.5181,174.1908232416621
742159.3.peg.1519,174.1908232416621
742159.3.peg.3609,174.1908232416621
742159.3.peg.1570,174.1908232416621
742159.3.peg.731,174.1908232416621
742159.3.peg.2197,171.99800719376637
742159.3.peg.4470,174.1908232416621
742159.3.peg.4706,174.1908232416621
742159.3.peg.4317,174.1908232416621
742159.3.peg.4421,174.1908232416621
742159.3.peg.5168,174.19082324166203
742159.3.peg.3573,174.19082324166203
742159.3.peg.3120,174.19082324166203
742159.3.peg.3320,174.19082324166203
742159.3.peg.188,174.19082324166203
742159.3.peg.1675,174.19082324166203
742159.3.peg.2120,174.19082324166203
742159.3.peg.1073,174.19082324166203
742159.3.peg.5348,174.19082324166203
742159.3.peg.4187,174.19082324166203
742159.3.peg.2049,174.19082324166203
742159.3.peg.1143,174.19082324166203
742159.3.peg.1946,174.19082324166203
742159.3.peg.4131,174.19082324166203
742159.3.peg.2042,174.19082324166203
742159.3.peg.4023,153.6977852132313
742159.3.peg.1034,174.19082324166203
742159.3.peg.2688,174.19082324166203
742159.3.peg.4752,174.19082324166203
742159.3.peg.1970,174.19082324166203
742159.3.peg.4890,174.19082324166203
742159.3.peg.3990,174.19082324166203
742159.3.peg.2476,174.19082324166203
742159.3.peg.3067,169.6361176068574
742159.3.peg.5272,173.13986538500743
742159.3.peg.1687,174.19082324166232
742159.3.peg.1397,174.19082324166232
742159.3.peg.292,174.19082324166232
742159.3.peg.1340,174.19082324166232
742159.3.peg.4213,174.19082324166232
742159.3.peg.151,174.19082324166206
742159.3.peg.4308,174.19082324166197
742159.3.peg.2201,174.19082324166197
742159.3.peg.2009,174.19082324166197
742159.3.peg.3799,174.19082324166197
742159.3.peg.5191,174.19082324166197
742159.3.peg.5495,174.19082324166197
742159.3.peg.4547,174.19082324166197
742159.3.peg.2940,174.19082324166197
742159.3.peg.4165,174.19082324166197
742159.3.peg.1325,174.19082324166197
742159.3.peg.5404,174.19082324166197
742159.3.peg.1813,174.19082324166197
742159.3.peg.5309,174.19082324166197
742159.3.peg.1179,174.19082324166197
742159.3.peg.5215,174.19082324166197
742159.3.peg.5543,171.39756276737785
742159.3.peg.277,174.19082324166206
742159.3.peg.112,174.19082324166206
742159.3.peg.2680,174.19082324166206
742159.3.peg.2428,174.19082324166212
742159.3.peg.4583,169.0610707406381
742159.3.peg.5119,174.19082324166212
742159.3.peg.3852,174.19082324166212
742159.3.peg.272,174.19082324166212
742159.3.peg.4307,174.19082324166212
742159.3.peg.2999,174.19082324166212
742159.3.peg.3480,174.19082324166212
742159.3.peg.1661,174.19082324166212
742159.3.peg.1362,174.19082324166212
742159.3.peg.809,174.19082324166212
742159.3.peg.1351,174.19082324166212
742159.3.peg.922,174.19082324166212
742159.3.peg.2466,174.19082324166212
742159.3.peg.1424,174.19082324166212
742159.3.peg.552,174.19082324166212
742159.3.peg.1454,174.19082324166212
742159.3.peg.3096,153.69778521323101
742159.3.peg.1600,174.19082324166243
742159.3.peg.3487,173.33809543760736
742159.3.peg.1943,174.19082324166254
742159.3.peg.2986,174.19082324166254
742159.3.peg.3869,173.91935322625756
742159.3.peg.1282,174.1908232416626
742159.3.peg.1266,174.1908232416626
742159.3.peg.2013,174.1908232416626
742159.3.peg.1608,174.1908232416626
742159.3.peg.2053,174.1908232416626
742159.3.peg.2008,174.1908232416626
742159.3.peg.4050,174.19082324166186
742159.3.peg.4615,174.19082324166192
742159.3.peg.3834,174.19082324166192
742159.3.peg.2991,174.19082324166192
742159.3.peg.2500,174.19082324166192
742159.3.peg.2690,174.19082324166192
