locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
SAOUHSC_00001,dnaA,1,359,E,Essential
SAOUHSC_00002,,1,359,E,Essential
SAOUHSC_00003,,1,359,E,Essential
SAOUHSC_00004,recF,1,359,NE,Nonessential
SAOUHSC_00005,,1,359,E,Essential
SAOUHSC_00006,,1,359,E,Essential
SAOUHSC_00007,,1,359,NE,Nonessential
SAOUHSC_00008,,1,359,NE,Nonessential
SAOUHSC_00009,,1,359,E,Essential
SAOUHSC_00010,,1,359,NE,Nonessential
SAOUHSC_00012,,1,359,NE,Nonessential
SAOUHSC_00013,,1,359,NE,Nonessential
SAOUHSC_00014,,1,359,NE,Nonessential
SAOUHSC_00015,,1,359,E,Essential
SAOUHSC_00017,rplI,1,359,NE,Nonessential
SAOUHSC_00018,,1,359,E,Essential
SAOUHSC_00019,,1,359,NE,Nonessential
SAOUHSC_00020,,1,359,E,Essential
SAOUHSC_00021,,1,359,E,Essential
SAOUHSC_00022,,1,359,NE,Nonessential
SAOUHSC_00023,,1,359,NE,Nonessential
SAOUHSC_00024,,1,359,NE,Nonessential
SAOUHSC_00025,,1,359,NE,Nonessential
SAOUHSC_00026,,1,359,NE,Nonessential
SAOUHSC_00027,,1,359,NE,Nonessential
SAOUHSC_00028,,1,359,NE,Nonessential
SAOUHSC_00029,,1,359,NE,Nonessential
SAOUHSC_00030,,1,359,NE,Nonessential
SAOUHSC_00031,,1,359,NE,Nonessential
SAOUHSC_00032,,1,359,NE,Nonessential
SAOUHSC_00033,,1,359,NE,Nonessential
SAOUHSC_00034,,1,359,NE,Nonessential
SAOUHSC_00035,,1,359,NE,Nonessential
SAOUHSC_00036,,1,359,NE,Nonessential
SAOUHSC_00037,,1,359,NE,Nonessential
SAOUHSC_00038,,1,359,NE,Nonessential
SAOUHSC_00039,,1,359,NE,Nonessential
SAOUHSC_00040,,1,359,NE,Nonessential
SAOUHSC_00041,,1,359,NE,Nonessential
SAOUHSC_00042,,1,359,NE,Nonessential
SAOUHSC_00043,,1,359,NE,Nonessential
SAOUHSC_00044,,1,359,NE,Nonessential
SAOUHSC_00045,,1,359,NE,Nonessential
SAOUHSC_00046,,1,359,NE,Nonessential
SAOUHSC_00047,,1,359,NE,Nonessential
SAOUHSC_00049,,1,359,NE,Nonessential
SAOUHSC_00050,,1,359,NE,Nonessential
SAOUHSC_00051,,1,359,NE,Nonessential
SAOUHSC_00052,,1,359,NE,Nonessential
SAOUHSC_00053,,1,359,NE,Nonessential
SAOUHSC_00054,,1,359,NE,Nonessential
SAOUHSC_00055,,1,359,NE,Nonessential
SAOUHSC_00056,,1,359,NE,Nonessential
SAOUHSC_00057,,1,359,NE,Nonessential
SAOUHSC_00058,,1,359,NE,Nonessential
SAOUHSC_00060,,1,359,NE,Nonessential
SAOUHSC_00061,,1,359,NE,Nonessential
SAOUHSC_00062,,1,359,NE,Nonessential
SAOUHSC_00064,,1,359,NE,Nonessential
SAOUHSC_00065,,1,359,NE,Nonessential
SAOUHSC_00067,,1,359,NE,Nonessential
SAOUHSC_00069,,1,359,NE,Nonessential
SAOUHSC_00070,,1,359,NE,Nonessential
SAOUHSC_00071,,1,359,NE,Nonessential
SAOUHSC_00072,,1,359,NE,Nonessential
SAOUHSC_00074,,1,359,NE,Nonessential
SAOUHSC_00075,,1,359,NE,Nonessential
SAOUHSC_00076,,1,359,NE,Nonessential
SAOUHSC_00077,,1,359,NE,Nonessential
SAOUHSC_00078,,1,359,NE,Nonessential
SAOUHSC_00079,,1,359,NE,Nonessential
SAOUHSC_00080,,1,359,NE,Nonessential
SAOUHSC_00081,,1,359,NE,Nonessential
SAOUHSC_00082,,1,359,NE,Nonessential
SAOUHSC_00083,,1,359,NE,Nonessential
SAOUHSC_00084,,1,359,NE,Nonessential
SAOUHSC_00085,,1,359,NE,Nonessential
SAOUHSC_00086,,1,359,NE,Nonessential
SAOUHSC_00087,,1,359,NE,Nonessential
SAOUHSC_00088,,1,359,NE,Nonessential
SAOUHSC_00089,,1,359,NE,Nonessential
SAOUHSC_00090,,1,359,NE,Nonessential
SAOUHSC_00091,,1,359,NE,Nonessential
SAOUHSC_00092,,1,359,NE,Nonessential
SAOUHSC_00093,,1,359,NE,Nonessential
SAOUHSC_00094,,1,359,NE,Nonessential
SAOUHSC_00096,,1,359,NE,Nonessential
SAOUHSC_00097,,1,359,NE,Nonessential
SAOUHSC_00099,,1,359,NE,Nonessential
SAOUHSC_00100,,1,359,NE,Nonessential
SAOUHSC_00101,,1,359,NE,Nonessential
SAOUHSC_00102,,1,359,NE,Nonessential
SAOUHSC_00103,,1,359,NE,Nonessential
SAOUHSC_00104,,1,359,NE,Nonessential
SAOUHSC_00105,,1,359,NE,Nonessential
SAOUHSC_00106,,1,359,NE,Nonessential
SAOUHSC_00107,,1,359,NE,Nonessential
SAOUHSC_00108,,1,359,NE,Nonessential
SAOUHSC_00109,,1,359,NE,Nonessential
SAOUHSC_00110,,1,359,NE,Nonessential
SAOUHSC_00111,,1,359,NE,Nonessential
SAOUHSC_00112,,1,359,NE,Nonessential
SAOUHSC_00113,,1,359,NE,Nonessential
SAOUHSC_00114,,1,359,NE,Nonessential
SAOUHSC_00115,,1,359,NE,Nonessential
SAOUHSC_00116,,1,359,NE,Nonessential
SAOUHSC_00117,,1,359,NE,Nonessential
SAOUHSC_00118,,1,359,NE,Nonessential
SAOUHSC_00119,,1,359,NE,Nonessential
SAOUHSC_00120,,1,359,NE,Nonessential
SAOUHSC_00121,,1,359,NE,Nonessential
SAOUHSC_00122,,1,359,NE,Nonessential
SAOUHSC_00123,,1,359,NE,Nonessential
SAOUHSC_00124,,1,359,NE,Nonessential
SAOUHSC_00125,,1,359,NE,Nonessential
SAOUHSC_00126,,1,359,NE,Nonessential
SAOUHSC_00127,,1,359,NE,Nonessential
SAOUHSC_00128,,1,359,NE,Nonessential
SAOUHSC_00129,,1,359,NE,Nonessential
SAOUHSC_00130,,1,359,NE,Nonessential
SAOUHSC_00131,,1,359,NE,Nonessential
SAOUHSC_00132,,1,359,NE,Nonessential
SAOUHSC_00133,,1,359,NE,Nonessential
SAOUHSC_00134,,1,359,NE,Nonessential
SAOUHSC_00135,,1,359,NE,Nonessential
SAOUHSC_00136,,1,359,NE,Nonessential
SAOUHSC_00137,,1,359,NE,Nonessential
SAOUHSC_00138,,1,359,NE,Nonessential
SAOUHSC_00139,,1,359,NE,Nonessential
SAOUHSC_00141,,1,359,NE,Nonessential
SAOUHSC_00142,,1,359,NE,Nonessential
SAOUHSC_00143,,1,359,NE,Nonessential
SAOUHSC_00144,,1,359,NE,Nonessential
SAOUHSC_00145,,1,359,NE,Nonessential
SAOUHSC_00146,,1,359,NE,Nonessential
SAOUHSC_00147,,1,359,NE,Nonessential
SAOUHSC_00148,argJ,1,359,NE,Nonessential
SAOUHSC_00149,argC,1,359,NE,Nonessential
SAOUHSC_00150,,1,359,NE,Nonessential
SAOUHSC_00151,,1,359,NE,Nonessential
SAOUHSC_00152,,1,359,NE,Nonessential
SAOUHSC_00153,,1,359,NE,Nonessential
SAOUHSC_00154,,1,359,NE,Nonessential
SAOUHSC_00155,,1,359,NE,Nonessential
SAOUHSC_00156,,1,359,NE,Nonessential
SAOUHSC_00157,murQ,1,359,NE,Nonessential
SAOUHSC_00158,,1,359,NE,Nonessential
SAOUHSC_00160,,1,359,NE,Nonessential
SAOUHSC_00161,,1,359,NE,Nonessential
SAOUHSC_00162,,1,359,NE,Nonessential
SAOUHSC_00163,,1,359,NE,Nonessential
SAOUHSC_00164,,1,359,NE,Nonessential
SAOUHSC_00166,,1,359,NE,Nonessential
SAOUHSC_00167,,1,359,NE,Nonessential
SAOUHSC_00168,,1,359,NE,Nonessential
SAOUHSC_00169,,1,359,NE,Nonessential
SAOUHSC_00170,,1,359,NE,Nonessential
SAOUHSC_00171,,1,359,NE,Nonessential
SAOUHSC_00172,,1,359,NE,Nonessential
SAOUHSC_00173,,1,359,NE,Nonessential
SAOUHSC_00174,,1,359,NE,Nonessential
SAOUHSC_00175,,1,359,NE,Nonessential
SAOUHSC_00176,,1,359,NE,Nonessential
SAOUHSC_00177,,1,359,NE,Nonessential
SAOUHSC_00178,,1,359,NE,Nonessential
SAOUHSC_00179,,1,359,NE,Nonessential
SAOUHSC_00180,,1,359,NE,Nonessential
SAOUHSC_00181,,1,359,NE,Nonessential
SAOUHSC_00182,,1,359,NE,Nonessential
SAOUHSC_00183,uhpT,1,359,NE,Nonessential
SAOUHSC_00184,,1,359,NE,Nonessential
SAOUHSC_00185,,1,359,NE,Nonessential
SAOUHSC_00186,,1,359,NE,Nonessential
SAOUHSC_00187,,1,359,NE,Nonessential
SAOUHSC_00188,,1,359,NE,Nonessential
SAOUHSC_00189,,1,359,NE,Nonessential
SAOUHSC_00190,,1,359,NE,Nonessential
SAOUHSC_00191,,1,359,NE,Nonessential
SAOUHSC_00192,,1,359,NE,Nonessential
SAOUHSC_00193,,1,359,NE,Nonessential
SAOUHSC_00194,,1,359,NE,Nonessential
SAOUHSC_00195,,1,359,NE,Nonessential
SAOUHSC_00196,,1,359,NE,Nonessential
SAOUHSC_00197,,1,359,NE,Nonessential
SAOUHSC_00198,,1,359,NE,Nonessential
SAOUHSC_00199,,1,359,NE,Nonessential
SAOUHSC_00200,,1,359,NE,Nonessential
SAOUHSC_00201,,1,359,NE,Nonessential
SAOUHSC_00202,,1,359,NE,Nonessential
SAOUHSC_00203,,1,359,NE,Nonessential
SAOUHSC_00204,,1,359,NE,Nonessential
SAOUHSC_00205,,1,359,NE,Nonessential
SAOUHSC_00206,,1,359,NE,Nonessential
SAOUHSC_00208,,1,359,NE,Nonessential
SAOUHSC_00209,,1,359,NE,Nonessential
SAOUHSC_00211,,1,359,NE,Nonessential
SAOUHSC_00212,,1,359,NE,Nonessential
SAOUHSC_00213,,1,359,NE,Nonessential
SAOUHSC_00214,,1,359,NE,Nonessential
SAOUHSC_00215,,1,359,NE,Nonessential
SAOUHSC_00216,,1,359,NE,Nonessential
SAOUHSC_00217,,1,359,NE,Nonessential
SAOUHSC_00218,,1,359,NE,Nonessential
SAOUHSC_00219,,1,359,NE,Nonessential
SAOUHSC_00220,,1,359,NE,Nonessential
SAOUHSC_00221,,1,359,NE,Nonessential
SAOUHSC_00222,,1,359,NE,Nonessential
SAOUHSC_00223,,1,359,E,Essential
SAOUHSC_00225,ispD,1,359,E,Essential
SAOUHSC_00226,,1,359,E,Essential
SAOUHSC_00227,,1,359,E,Essential
SAOUHSC_00228,,1,359,NE,Nonessential
SAOUHSC_00229,,1,359,NE,Nonessential
SAOUHSC_00230,,1,359,NE,Nonessential
SAOUHSC_00231,,1,359,NE,Nonessential
SAOUHSC_00232,,1,359,NE,Nonessential
SAOUHSC_00233,,1,359,NE,Nonessential
SAOUHSC_00234,,1,359,NE,Nonessential
SAOUHSC_00235,,1,359,NE,Nonessential
SAOUHSC_00236,,1,359,NE,Nonessential
SAOUHSC_00237,,1,359,NE,Nonessential
SAOUHSC_00238,,1,359,NE,Nonessential
SAOUHSC_00239,,1,359,NE,Nonessential
SAOUHSC_00240,,1,359,NE,Nonessential
SAOUHSC_00241,,1,359,NE,Nonessential
SAOUHSC_00242,,1,359,NE,Nonessential
SAOUHSC_00243,,1,359,NE,Nonessential
SAOUHSC_00244,,1,359,NE,Nonessential
SAOUHSC_00245,,1,359,NE,Nonessential
SAOUHSC_00246,,1,359,NE,Nonessential
SAOUHSC_00247,,1,359,NE,Nonessential
SAOUHSC_00248,,1,359,NE,Nonessential
SAOUHSC_00249,,1,359,NE,Nonessential
SAOUHSC_00250,,1,359,NE,Nonessential
SAOUHSC_00251,,1,359,NE,Nonessential
SAOUHSC_00253,,1,359,NE,Nonessential
SAOUHSC_00254,,1,359,NE,Nonessential
SAOUHSC_00255,,1,359,NE,Nonessential
SAOUHSC_00256,,1,359,NE,Nonessential
SAOUHSC_00257,,1,359,NE,Nonessential
SAOUHSC_00258,,1,359,NE,Nonessential
SAOUHSC_00259,,1,359,NE,Nonessential
SAOUHSC_00260,,1,359,NE,Nonessential
SAOUHSC_00261,,1,359,NE,Nonessential
SAOUHSC_00262,,1,359,NE,Nonessential
SAOUHSC_00264,,1,359,NE,Nonessential
SAOUHSC_00265,,1,359,NE,Nonessential
SAOUHSC_00266,,1,359,NE,Nonessential
SAOUHSC_00267,,1,359,NE,Nonessential
SAOUHSC_00268,,1,359,NE,Nonessential
SAOUHSC_00269,,1,359,NE,Nonessential
SAOUHSC_00270,,1,359,NE,Nonessential
SAOUHSC_00271,,1,359,NE,Nonessential
SAOUHSC_00272,,1,359,NE,Nonessential
SAOUHSC_00274,,1,359,NE,Nonessential
SAOUHSC_00275,,1,359,NE,Nonessential
SAOUHSC_00276,,1,359,NE,Nonessential
SAOUHSC_00277,,1,359,NE,Nonessential
SAOUHSC_00278,,1,359,NE,Nonessential
SAOUHSC_00279,,1,359,NE,Nonessential
SAOUHSC_00280,,1,359,NE,Nonessential
SAOUHSC_00281,,1,359,NE,Nonessential
SAOUHSC_00282,,1,359,NE,Nonessential
SAOUHSC_00284,,1,359,NE,Nonessential
SAOUHSC_00285,,1,359,NE,Nonessential
SAOUHSC_00287,,1,359,NE,Nonessential
SAOUHSC_00289,,1,359,NE,Nonessential
SAOUHSC_00290,,1,359,NE,Nonessential
SAOUHSC_00291,,1,359,NE,Nonessential
SAOUHSC_00292,,1,359,NE,Nonessential
SAOUHSC_00293,,1,359,NE,Nonessential
SAOUHSC_00294,,1,359,NE,Nonessential
SAOUHSC_00295,,1,359,NE,Nonessential
SAOUHSC_00296,,1,359,NE,Nonessential
SAOUHSC_00297,,1,359,NE,Nonessential
SAOUHSC_00298,,1,359,NE,Nonessential
SAOUHSC_00299,,1,359,NE,Nonessential
SAOUHSC_00300,,1,359,NE,Nonessential
SAOUHSC_00301,,1,359,NE,Nonessential
SAOUHSC_00302,,1,359,NE,Nonessential
SAOUHSC_00303,,1,359,NE,Nonessential
SAOUHSC_00304,,1,359,NE,Nonessential
SAOUHSC_00305,,1,359,NE,Nonessential
SAOUHSC_00306,,1,359,NE,Nonessential
SAOUHSC_00307,,1,359,NE,Nonessential
SAOUHSC_00308,,1,359,NE,Nonessential
SAOUHSC_00309,,1,359,NE,Nonessential
SAOUHSC_00310,ulaA,1,359,NE,Nonessential
SAOUHSC_00311,,1,359,NE,Nonessential
SAOUHSC_00312,,1,359,NE,Nonessential
SAOUHSC_00313,,1,359,NE,Nonessential
SAOUHSC_00314,,1,359,NE,Nonessential
SAOUHSC_00315,,1,359,NE,Nonessential
SAOUHSC_00316,,1,359,NE,Nonessential
SAOUHSC_00317,,1,359,NE,Nonessential
SAOUHSC_00318,,1,359,NE,Nonessential
SAOUHSC_00319,,1,359,NE,Nonessential
SAOUHSC_00320,,1,359,NE,Nonessential
SAOUHSC_00322,,1,359,NE,Nonessential
SAOUHSC_00323,,1,359,NE,Nonessential
SAOUHSC_00324,,1,359,NE,Nonessential
SAOUHSC_00325,,1,359,NE,Nonessential
SAOUHSC_00326,,1,359,NE,Nonessential
SAOUHSC_00327,,1,359,NE,Nonessential
SAOUHSC_00328,,1,359,NE,Nonessential
SAOUHSC_00329,,1,359,NE,Nonessential
SAOUHSC_00330,,1,359,NE,Nonessential
SAOUHSC_00331,,1,359,NE,Nonessential
SAOUHSC_00332,,1,359,NE,Nonessential
SAOUHSC_00333,,1,359,NE,Nonessential
SAOUHSC_00334,,1,359,NE,Nonessential
SAOUHSC_00335,,1,359,NE,Nonessential
SAOUHSC_00336,,1,359,E,Essential
SAOUHSC_00337,,1,359,NE,Nonessential
SAOUHSC_00338,,1,359,NE,Nonessential
SAOUHSC_00339,,1,359,NE,Nonessential
SAOUHSC_00340,,1,359,NE,Nonessential
SAOUHSC_00341,,1,359,NE,Nonessential
SAOUHSC_00342,,1,359,NE,Nonessential
SAOUHSC_00344,,1,359,NE,Nonessential
SAOUHSC_00345,,1,359,E,Essential
SAOUHSC_00346,,1,359,NE,Nonessential
SAOUHSC_00347,,1,359,NE,Nonessential
SAOUHSC_00348,rpsF,1,359,E,Essential
SAOUHSC_00349,,1,359,E,Essential
SAOUHSC_00350,rpsR,1,359,E,Essential
SAOUHSC_00351,,1,359,NE,Nonessential
SAOUHSC_00352,,1,359,NE,Nonessential
SAOUHSC_00353,,1,359,NE,Nonessential
SAOUHSC_00354,,1,359,NE,Nonessential
SAOUHSC_00355,,1,359,NE,Nonessential
SAOUHSC_00356,,1,359,NE,Nonessential
SAOUHSC_00357,,1,359,NE,Nonessential
SAOUHSC_00358,,1,359,NE,Nonessential
SAOUHSC_00359,,1,359,NE,Nonessential
SAOUHSC_00360,,1,359,NE,Nonessential
SAOUHSC_00362,,1,359,NE,Nonessential
SAOUHSC_00363,,1,359,NE,Nonessential
SAOUHSC_00364,,1,359,NE,Nonessential
SAOUHSC_00365,,1,359,NE,Nonessential
SAOUHSC_00366,,1,359,NE,Nonessential
SAOUHSC_00367,,1,359,NE,Nonessential
SAOUHSC_00368,,1,359,NE,Nonessential
SAOUHSC_00369,,1,359,NE,Nonessential
SAOUHSC_00370,,1,359,NE,Nonessential
SAOUHSC_00371,,1,359,NE,Nonessential
SAOUHSC_00372,,1,359,NE,Nonessential
SAOUHSC_00373,,1,359,NE,Nonessential
SAOUHSC_00374,,1,359,NE,Nonessential
SAOUHSC_00375,guaA,1,359,E,Essential
SAOUHSC_00376,,1,359,NE,Nonessential
SAOUHSC_00377,,1,359,NE,Nonessential
SAOUHSC_00378,,1,359,NE,Nonessential
SAOUHSC_00380,,1,359,NE,Nonessential
SAOUHSC_00381,,1,359,NE,Nonessential
SAOUHSC_00382,,1,359,NE,Nonessential
SAOUHSC_00383,,1,359,NE,Nonessential
SAOUHSC_00384,,1,359,NE,Nonessential
SAOUHSC_00386,,1,359,NE,Nonessential
SAOUHSC_00387,,1,359,NE,Nonessential
SAOUHSC_00389,,1,359,NE,Nonessential
SAOUHSC_00390,,1,359,NE,Nonessential
SAOUHSC_00391,,1,359,NE,Nonessential
SAOUHSC_00392,,1,359,NE,Nonessential
SAOUHSC_00393,,1,359,NE,Nonessential
SAOUHSC_00394,,1,359,NE,Nonessential
SAOUHSC_00395,,1,359,NE,Nonessential
SAOUHSC_00396,,1,359,NE,Nonessential
SAOUHSC_00397,,1,359,NE,Nonessential
SAOUHSC_00398,,1,359,NE,Nonessential
SAOUHSC_00399,,1,359,NE,Nonessential
SAOUHSC_00400,,1,359,NE,Nonessential
SAOUHSC_00401,,1,359,NE,Nonessential
SAOUHSC_00402,,1,359,NE,Nonessential
SAOUHSC_00404,,1,359,NE,Nonessential
SAOUHSC_00405,,1,359,NE,Nonessential
SAOUHSC_00406,,1,359,NE,Nonessential
SAOUHSC_00407,,1,359,NE,Nonessential
