locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
HI0004,,1,365,E,Essential
HI0005,fdhD,1,365,NE,Nonessential
HI0008,fdxI,1,365,NE,Nonessential
HI0009,fdhE,1,365,E,Essential
HI0010,rimI,1,365,E,Essential
HI0012,rsmC,1,365,NE,Nonessential
HI0013,era,1,365,E,Essential
HI0014,rnc,1,365,E,Essential
HI0015,lepB,1,365,E,Essential
HI0016,lepA,1,365,NE,Nonessential
HI0017,,1,365,NE,Nonessential
HI0019,,1,365,NE,Nonessential
HI0020,,1,365,E,Essential
HI0023,citE,1,365,E,Essential
HI0024,citD,1,365,NE,Nonessential
HI0025,citC,1,365,NE,Nonessential
HI0027,lipB,1,365,E,Essential
HI0029,dacA,1,365,NE,Nonessential
HI0036,,1,365,NE,Nonessential
HI0037,mreB,1,365,NE,Nonessential
HI0038,mreC,1,365,E,Essential
HI0040,,1,365,E,Essential
HI0041,xthA,1,365,E,Essential
HI0043,,1,365,E,Essential
HI0044,,1,365,NE,Nonessential
HI0045,,1,365,E,Essential
HI0050,,1,365,NE,Nonessential
HI0051,,1,365,NE,Nonessential
HI0052,,1,365,NE,Nonessential
HI0053,,1,365,NE,Nonessential
HI0054,uxuR,1,365,NE,Nonessential
HI0055,uxuA,1,365,NE,Nonessential
HI0056,,1,365,E,Essential
HI0058,kdsB,1,365,E,Essential
HI0059,lpxK,1,365,E,Essential
HI0060,msbA,1,365,NE,Nonessential
HI0069,glnE,1,365,NE,Nonessential
HI0070,recN,1,365,NE,Nonessential
HI0073,,1,365,E,Essential
HI0074,,1,365,NE,Nonessential
HI0077,,1,365,E,Essential
HI0078,cysS,1,365,E,Essential
HI0079,ppiB,1,365,NE,Nonessential
HI0081,,1,365,E,Essential
HI0084,trxM,1,365,NE,Nonessential
HI0086,metB,1,365,E,Essential
HI0087,thrC,1,365,E,Essential
HI0088,thrB,1,365,NE,Nonessential
HI0090,,1,365,E,Essential
HI0092,,1,365,E,Essential
HI0096,,1,365,E,Essential
HI0097,hitA,1,365,NE,Nonessential
HI0099,hitC,1,365,E,Essential
HI0104,htpG,1,365,NE,Nonessential
HI0105,,1,365,NE,Nonessential
HI0108,,1,365,E,Essential
HI0109,,1,365,E,Essential
HI0117,mltA,1,365,E,Essential
HI0118,,1,365,E,Essential
HI0119,znuA,1,365,E,Essential
HI0120,,1,365,E,Essential
HI0121,,1,365,E,Essential
HI0122,metC,1,365,E,Essential
HI0123,pgsA,1,365,E,Essential
HI0124,ppa,1,365,E,Essential
HI0126,fbpC,1,365,E,Essential
HI0129,afuB,1,365,E,Essential
HI0131,afuA,1,365,E,Essential
HI0134,,1,365,E,Essential
HI0135,,1,365,E,Essential
HI0137,dnaQ,1,365,E,Essential
HI0139,ompP2,1,365,NE,Nonessential
HI0140,nagA,1,365,E,Essential
HI0141,nagB,1,365,E,Essential
HI0143,,1,365,NE,Nonessential
HI0144,,1,365,NE,Nonessential
HI0145,,1,365,NE,Nonessential
HI0148,,1,365,E,Essential
HI0149,,1,365,E,Essential
HI0150,hflC,1,365,NE,Nonessential
HI0151,hflK,1,365,NE,Nonessential
HI0152,,1,365,E,Essential
HI0155,fabG,1,365,E,Essential
HI0156,fabD,1,365,E,Essential
HI0157,fabH,1,365,E,Essential
HI0159,,1,365,NE,Nonessential
HI0160,psd,1,365,NE,Nonessential
HI0161,gor,1,365,NE,Nonessential
HI0163,bolA,1,365,E,Essential
HI0164,,1,365,NE,Nonessential
HI0166,nqrB,1,365,NE,Nonessential
HI0167,,1,365,NE,Nonessential
HI0168,,1,365,NE,Nonessential
HI0170,,1,365,NE,Nonessential
HI0171,nqr6,1,365,NE,Nonessential
HI0172,,1,365,E,Essential
HI0174,mnmA,1,365,E,Essential
