,mean fractional importance,mean fractional ratio,number of reactions,name
cpd11466_c,7.180090741132378e-05,0.0,1,metabolite missing from universal
cpd00822_c,6.823586705380863e-05,0.0,4,metabolite missing from universal
cpd02625_c,6.772660818808233e-05,0.0,3,metabolite missing from universal
cpd29317_c,6.772660818808233e-05,0.0,3,metabolite missing from universal
cpd04140_c,6.516320327431326e-05,0.0,4,metabolite missing from universal
cpd00103_c,5.949944026677903e-05,0.0,2,metabolite missing from universal
cpd00387_c,5.6985577218929674e-05,0.0,1,metabolite missing from universal
cpd11209_c,5.048376976945282e-05,0.0,2,metabolite missing from universal
cpd00034_c,3.888079052181357e-05,0.0,1,metabolite missing from universal
cpd00034_e,3.888079052181357e-05,0.0,1,metabolite missing from universal
cpd00046_c,3.790820961416206e-05,0.0,9,metabolite missing from universal
cpd00444_c,3.790820961416206e-05,0.0,9,metabolite missing from universal
cpd23597_c,3.790820961416206e-05,0.0,9,metabolite missing from universal
cpd26605_c,3.790820961416206e-05,0.0,9,metabolite missing from universal
cpd15876_c,1.6905474382235976e-05,0.0,6,metabolite missing from universal
cpd15877_c,1.6905474382235976e-05,0.0,6,metabolite missing from universal
cpd00129_e,1.5440505697163812e-05,0.0,1,metabolite missing from universal
cpd16443_c,8.086837273511661e-06,0.0,2,metabolite missing from universal
cpd01041_c,5.866584650252275e-06,0.0,2,metabolite missing from universal
cpd01728_c,5.866584650252275e-06,0.0,2,metabolite missing from universal
cpd00693_c,2.7898432270017247e-06,0.0,1,metabolite missing from universal
cpd01964_c,2.193489304141774e-06,0.0,6,metabolite missing from universal
cpd02129_c,2.193489304141774e-06,0.0,6,metabolite missing from universal
cpd00192_c,9.778758970913977e-07,0.0,2,metabolite missing from universal
cpd00236_c,0.0,0.0,1,metabolite missing from universal
cpd00405_c,0.0,0.0,2,metabolite missing from universal
cpd00493_c,0.0,0.0,2,metabolite missing from universal
cpd00623_c,0.0,0.0,3,metabolite missing from universal
cpd00824_c,0.0,0.0,2,metabolite missing from universal
cpd01879_c,0.0,0.0,3,metabolite missing from universal
cpd01982_c,0.0,0.0,1,metabolite missing from universal
cpd23593_c,0.0,0.0,3,metabolite missing from universal
cpd23595_c,0.0,0.0,3,metabolite missing from universal
cpd26147_c,0.0,0.0,2,metabolite missing from universal
cpd01135_c,0.0021346964576373305,0.025762936753648828,3,metabolite missing from universal
cpd03503_c,0.0021346964576373305,0.025762936753648828,3,metabolite missing from universal
cpd00717_c,0.0006848256608049838,0.03649749373433584,3,metabolite missing from universal
cpd02289_c,0.0006848256608049838,0.03649749373433584,3,metabolite missing from universal
cpd00359_c,0.01637002729248052,0.04170341191918003,4,metabolite missing from universal
cpd00198_c,3.7600413485778575e-05,0.044587123238808625,9,metabolite missing from universal
cpd00238_c,3.7600413485778575e-05,0.044587123238808625,9,metabolite missing from universal
cpd19028_c,3.7600413485778575e-05,0.044587123238808625,9,metabolite missing from universal
cpd11640_c,0.010848354272077476,0.05942492012779552,6,metabolite missing from universal
cpd00275_c,0.0005309466664242817,0.06100094428706327,1,metabolite missing from universal
cpd01653_c,0.0001657006987525117,0.0688851208139042,2,metabolite missing from universal
cpd00277_c,0.004144684020203927,0.08524522986297862,5,metabolite missing from universal
cpd00157_c,1.3655284538436741e-05,0.09305252003443937,3,metabolite missing from universal
cpd03375_c,0.0032152172670824345,0.10667142308325558,2,metabolite missing from universal
cpd12562_c,0.00033679872678845816,0.12288810260946485,15,metabolite missing from universal
cpd12603_c,0.00033679872678845816,0.12288810260946485,15,metabolite missing from universal
cpd00351_c,0.0061026217373559245,0.12390337467736848,2,metabolite missing from universal
cpd00339_c,0.009531470686394023,0.12510509500588532,2,metabolite missing from universal
cpd01770_c,0.009531470686394023,0.12510509500588532,3,metabolite missing from universal
cpd01979_c,0.009531470686394023,0.12510509500588532,2,metabolite missing from universal
cpd03291_c,0.009531470686394023,0.12510509500588532,3,metabolite missing from universal
cpd15272_c,0.00040200562490125296,0.12655597349614608,6,metabolite missing from universal
cpd02305_c,0.0003722918587448386,0.13329802259887005,4,metabolite missing from universal
cpd01502_c,0.002670396013406642,0.13996051214550675,12,metabolite missing from universal
cpd01700_c,0.002670396013406642,0.13996051214550675,12,metabolite missing from universal
cpd03593_c,0.002670396013406642,0.13996051214550675,4,metabolite missing from universal
cpd00695_c,6.144609191050551e-05,0.14465875370919884,4,metabolite missing from universal
