,Streptococcus pneumoniae_gapfilled_79,Streptococcus pneumoniae_gapfilled_65,Streptococcus pneumoniae_gapfilled_87,Streptococcus pneumoniae_gapfilled_31,Streptococcus pneumoniae_gapfilled_12,Streptococcus pneumoniae_gapfilled_58,Streptococcus pneumoniae_gapfilled_22,Streptococcus pneumoniae_gapfilled_43,Streptococcus pneumoniae_gapfilled_61,Streptococcus pneumoniae_gapfilled_52,Streptococcus pneumoniae_gapfilled_94,Streptococcus pneumoniae_gapfilled_76,Streptococcus pneumoniae_gapfilled_33,Streptococcus pneumoniae_gapfilled_0,Streptococcus pneumoniae_gapfilled_2,Streptococcus pneumoniae_gapfilled_97,Streptococcus pneumoniae_gapfilled_20,Streptococcus pneumoniae_gapfilled_78,Streptococcus pneumoniae_gapfilled_10,Streptococcus pneumoniae_gapfilled_63,Streptococcus pneumoniae_gapfilled_82,Streptococcus pneumoniae_gapfilled_45,Streptococcus pneumoniae_gapfilled_32,Streptococcus pneumoniae_gapfilled_7,Streptococcus pneumoniae_gapfilled_55,Streptococcus pneumoniae_gapfilled_80,Streptococcus pneumoniae_gapfilled_23,Streptococcus pneumoniae_gapfilled_4,Streptococcus pneumoniae_gapfilled_70,Streptococcus pneumoniae_gapfilled_91,Streptococcus pneumoniae_gapfilled_53,Streptococcus pneumoniae_gapfilled_85,Streptococcus pneumoniae_gapfilled_81,Streptococcus pneumoniae_gapfilled_62,Streptococcus pneumoniae_gapfilled_66,Streptococcus pneumoniae_gapfilled_74,Streptococcus pneumoniae_gapfilled_56,Streptococcus pneumoniae_gapfilled_51,Streptococcus pneumoniae_gapfilled_35,Streptococcus pneumoniae_gapfilled_99,Streptococcus pneumoniae_gapfilled_50,Streptococcus pneumoniae_gapfilled_90,Streptococcus pneumoniae_gapfilled_98,Streptococcus pneumoniae_gapfilled_11,Streptococcus pneumoniae_gapfilled_39,Streptococcus pneumoniae_gapfilled_64,Streptococcus pneumoniae_gapfilled_48,Streptococcus pneumoniae_gapfilled_42,Streptococcus pneumoniae_gapfilled_72,Streptococcus pneumoniae_gapfilled_89,Streptococcus pneumoniae_gapfilled_69,Streptococcus pneumoniae_gapfilled_75,Streptococcus pneumoniae_gapfilled_18,Streptococcus pneumoniae_gapfilled_68,Streptococcus pneumoniae_gapfilled_37,Streptococcus pneumoniae_gapfilled_1,Streptococcus pneumoniae_gapfilled_49,Streptococcus pneumoniae_gapfilled_21,Streptococcus pneumoniae_gapfilled_16,Streptococcus pneumoniae_gapfilled_71,Streptococcus pneumoniae_gapfilled_93,Streptococcus pneumoniae_gapfilled_34,Streptococcus pneumoniae_gapfilled_54,Streptococcus pneumoniae_gapfilled_5,Streptococcus pneumoniae_gapfilled_38,Streptococcus pneumoniae_gapfilled_46,Streptococcus pneumoniae_gapfilled_77,Streptococcus pneumoniae_gapfilled_6,Streptococcus pneumoniae_gapfilled_40,Streptococcus pneumoniae_gapfilled_67,Streptococcus pneumoniae_gapfilled_88,Streptococcus pneumoniae_gapfilled_26,Streptococcus pneumoniae_gapfilled_28,Streptococcus pneumoniae_gapfilled_17,Streptococcus pneumoniae_gapfilled_59,Streptococcus pneumoniae_gapfilled_19,Streptococcus pneumoniae_gapfilled_60,Streptococcus pneumoniae_gapfilled_57,Streptococcus pneumoniae_gapfilled_92,Streptococcus pneumoniae_gapfilled_14,Streptococcus pneumoniae_gapfilled_47,Streptococcus pneumoniae_gapfilled_15,Streptococcus pneumoniae_gapfilled_96,Streptococcus pneumoniae_gapfilled_25,Streptococcus pneumoniae_gapfilled_41,Streptococcus pneumoniae_gapfilled_8,Streptococcus pneumoniae_gapfilled_86,Streptococcus pneumoniae_gapfilled_27,Streptococcus pneumoniae_gapfilled_95,Streptococcus pneumoniae_gapfilled_29,Streptococcus pneumoniae_gapfilled_73,Streptococcus pneumoniae_gapfilled_24,Streptococcus pneumoniae_gapfilled_83,Streptococcus pneumoniae_gapfilled_36,Streptococcus pneumoniae_gapfilled_44,Streptococcus pneumoniae_gapfilled_30,Streptococcus pneumoniae_gapfilled_84,Streptococcus pneumoniae_gapfilled_13,Streptococcus pneumoniae_gapfilled_9,Streptococcus pneumoniae_gapfilled_3
rxn01701_c,48.05346213575678,48.5253135932763,51.828749125158424,49.970612612082434,50.110710729272625,45.37875499372426,50.90978136031775,76.03683566256231,59.25696092159568,53.03915735128603,49.43184152896387,47.5312939867705,53.99435502260757,45.552083824290015,50.17735198576064,47.24451484151319,60.55378738121907,62.54258347122432,49.21210145033626,46.98501504680108,59.08650750586436,49.70623266835246,47.23783502953435,48.69986475025189,54.18759183879226,44.738267895620275,44.373040231799294,61.94166760370581,48.896109989111444,55.207472022627385,54.956805300771165,52.111663239602535,50.28231973997823,47.320889850385456,63.636145895280684,50.533411362110236,52.59811856661109,51.487462498680976,44.498657325490804,51.308645468294976,43.14873181143644,47.73612008148775,58.5358866567214,56.206154904316655,61.98485973238031,49.3847931969835,60.11913529921089,43.00802699608714,47.88808255611993,50.36201499462205,47.88808255611988,48.541612823516004,45.962455624187456,59.1468321054177,44.4980370698782,48.38633715948752,47.005107168386374,54.73513174169763,51.742451085023454,46.38305509329172,58.81274212386267,47.88808255612004,47.88441780366192,53.99756382004301,52.3758284021274,47.40420792405592,50.41159990326385,47.99296358156344,47.99954341606609,48.541612823515955,45.42254519004133,49.03744560623542,47.88808255612002,50.76413353440234,47.00059825833426,61.12575001724538,47.88808255611899,47.1088814610562,57.39984830056315,49.16443071443166,50.43369778737343,46.887926188992786,48.97137434452361,56.98950519843249,44.46880566233678,65.23975194870906,51.15791579457517,53.625744590130715,46.98457169732025,46.98189192661882,49.25137143522441,50.77892476618806,47.86056110741347,46.99283282076154,46.572893931099756,57.28346559272272,45.6891845380736,59.156247503496786,63.47548997394047,52.83187928964094
rxn00001_c,48.053462135756774,48.5253135932763,51.828749125158375,49.970612612082434,50.110710729272846,45.37875499372426,50.90978136031706,76.03683566256205,59.25696092159552,53.03915735128636,49.43184152896455,47.5312939867705,53.99435502260757,45.55208382428999,50.17735198576063,47.244514841513265,60.55378738121905,62.54258347122432,49.21210145033626,46.98501504680124,59.08650750586436,49.70623266835246,47.23783502954042,48.699864750251905,54.18759183879226,44.738267895620275,44.373040231799294,61.94166760370544,48.896109989111025,55.207472022627385,54.95680530077118,52.11166323960253,50.28231973997823,47.320889850385456,63.636145895281224,50.53341136211095,52.59811856661109,51.487462498680976,44.498657325490804,51.30864546829507,43.14873181143644,47.73612008148775,58.535886656721324,56.206154904316605,61.98485973238033,49.3847931969835,60.11913529921093,43.008026996087146,47.88808255611996,50.36201499462205,47.888082556119855,48.541612823516004,45.9624556241874,59.1468321054177,44.49803706987816,48.38633715948757,47.005107168386324,54.735131741697465,51.74245108502365,46.38305509329172,58.81274212386261,47.88808255612013,47.88441780366192,53.99756382004291,52.37582840212729,47.40420792405607,50.41159990326379,47.99296358156269,47.999543416065904,48.54161282351779,45.42254519004133,49.03744560623542,47.88808255612002,50.76413353440246,47.00059825833426,61.12575001724525,47.88808255611899,47.10888146105612,57.399848300563505,49.164430714431695,50.433697787373454,46.88792618899303,48.97137434452348,56.989505198432504,44.46880566233678,65.23975194870904,51.157915794576446,53.625744590130715,46.98457169731375,46.98189192661882,49.251371435224385,50.778924766188084,47.860561107413574,46.99283282076159,46.57289393109983,57.283465592723246,45.68918453807362,59.15624750349678,63.47548997394044,52.8318792896408
rxn01648_c,48.053462135756774,48.5253135932763,51.828749125158375,49.970612612082434,50.110710729272846,45.37875499372426,50.90978136031706,76.03683566256205,59.25696092159552,53.03915735128636,49.43184152896455,47.5312939867705,53.99435502260757,45.55208382428999,50.17735198576063,47.244514841513265,60.55378738121905,62.54258347122432,49.21210145033626,46.98501504680124,59.08650750586436,49.70623266835246,47.23783502954042,48.699864750251905,54.18759183879226,44.738267895620275,44.373040231799294,61.94166760370544,48.896109989111025,55.207472022627385,54.95680530077118,52.11166323960253,50.28231973997823,47.2889937055824,63.636145895281224,50.53341136211095,52.59811856661109,51.487462498680976,44.498657325490804,51.30864546829507,43.14873181143644,47.73612008148775,58.535886656721324,56.206154904316605,61.98485973238033,49.3847931969835,60.11913529921093,43.008026996087146,47.88808255611996,50.36201499462205,47.888082556119855,48.541612823516004,45.9624556241874,59.1468321054177,44.49803706987816,48.38633715948757,47.005107168386324,54.735131741697465,51.74245108502365,46.38305509329172,58.81274212386261,47.88808255612013,47.88441780366192,53.99756382004291,52.37582840212729,47.40420792405607,50.41159990326379,47.99296358156269,47.999543416065904,48.54161282351779,45.42254519004133,49.03744560623542,47.88808255612002,50.76413353440246,47.00059825833426,61.12575001724525,47.88808255611899,47.10888146105612,57.399848300563505,49.164430714431695,50.433697787373454,46.88792618899303,48.97137434452348,56.989505198432504,44.46880566233678,65.23975194870904,51.1579157945766,53.625744590130715,46.98457169731375,46.98189192661882,49.251371435224385,50.778924766188084,47.860561107413574,46.99283282076159,46.57289393109983,57.283465592723246,45.68918453807362,59.15624750349678,63.47548997394044,52.8318792896408
rxn01927_c,48.053462135756774,48.5253135932763,51.828749125158375,49.970612612082434,50.110710729272846,45.37875499372426,50.90978136031706,76.03683566256205,59.25696092159552,53.03915735128636,49.43184152896455,47.5312939867705,53.99435502260757,45.55208382428999,50.17735198576063,47.244514841513265,60.55378738121905,62.54258347122432,49.21210145033626,46.98501504680124,59.08650750586436,49.70623266835246,47.23783502954042,48.699864750251905,54.18759183879226,44.738267895620275,44.373040231799294,61.94166760370544,48.896109989111025,55.207472022627385,54.95680530077118,52.11166323960253,50.28231973997823,47.320889850385434,63.636145895281224,50.53341136211095,52.59811856661109,51.487462498680976,44.498657325490804,51.30864546829507,43.14873181143644,47.73612008148775,58.535886656721324,56.206154904316605,61.98485973238033,49.3847931969835,60.11913529921093,43.008026996087146,47.88808255611996,50.36201499462205,47.888082556119855,48.541612823516004,45.9624556241874,59.1468321054177,44.49803706987816,48.38633715948757,47.005107168386324,54.735131741697465,51.74245108502365,46.38305509329172,58.81274212386261,47.88808255612013,47.88441780366192,53.99756382004291,52.37582840212729,47.40420792405607,50.41159990326379,47.99296358156269,47.999543416065904,48.54161282351779,45.42254519004133,49.03744560623542,47.88808255612002,50.76413353440246,47.00059825833426,61.12575001724525,47.88808255611899,47.10888146105612,57.399848300563505,49.164430714431695,50.433697787373454,46.88792618899303,48.97137434452348,56.989505198432504,44.46880566233678,65.23975194870904,51.1579157945766,53.625744590130715,46.98457169731375,46.98189192661882,49.251371435224385,50.778924766188084,47.860561107413574,46.99283282076159,46.57289393109983,57.283465592723246,45.68918453807362,59.15624750349678,63.47548997394044,52.8318792896408
rxn12643_c,48.053462135756774,48.5253135932763,51.828749125158375,49.970612612082434,50.110710729272846,45.37875499372426,50.90978136031706,76.03683566256205,59.25696092159552,53.03915735128636,49.43184152896455,47.5312939867705,53.99435502260757,45.55208382428999,50.17735198576063,47.244514841513265,60.55378738121905,62.54258347122432,49.21210145033626,46.98501504680124,59.08650750586436,49.70623266835246,47.23783502954042,48.699864750251905,54.18759183879226,44.738267895620275,44.373040231799294,61.94166760370544,48.896109989111025,55.207472022627385,54.95680530077118,52.11166323960253,50.28231973997823,47.320889850385434,63.636145895281224,50.53341136211095,52.59811856661109,51.487462498680976,44.498657325490804,51.30864546829507,43.14873181143644,47.73612008148775,58.535886656721324,56.206154904316605,61.98485973238033,49.3847931969835,60.11913529921093,43.008026996087146,47.88808255611996,50.36201499462205,47.888082556119855,48.541612823516004,45.9624556241874,59.1468321054177,44.49803706987816,48.38633715948757,47.005107168386324,54.735131741697465,51.74245108502365,46.38305509329172,58.81274212386261,47.88808255612013,47.88441780366192,53.99756382004291,52.37582840212729,47.40420792405607,50.41159990326379,47.99296358156269,47.999543416065904,48.54161282351779,45.42254519004133,49.03744560623542,47.88808255612002,50.76413353440246,47.00059825833426,61.12575001724525,47.88808255611899,47.10888146105612,57.399848300563505,49.164430714431695,50.433697787373454,46.88792618899303,48.97137434452348,56.989505198432504,44.46880566233678,65.23975194870904,51.1579157945766,53.625744590130715,46.98457169731375,46.98189192661882,49.251371435224385,50.778924766188084,47.860561107413574,46.99283282076159,46.57289393109983,57.283465592723246,45.68918453807362,59.15624750349678,63.47548997394044,52.8318792896408
rxn00988_c,48.053462135756774,48.5253135932763,51.828749125158375,49.970612612082434,50.110710729272846,45.37875499372426,50.90978136031706,76.03683566256205,59.25696092159552,53.03915735128636,49.43184152896455,47.5312939867705,53.99435502260757,45.55208382428999,50.17735198576063,47.244514841513265,60.55378738121905,62.54258347122432,49.21210145033626,46.98501504680124,59.08650750586436,49.70623266835246,47.23783502954042,48.699864750251905,54.18759183879226,44.738267895620275,44.373040231799294,61.94166760370544,48.896109989111025,55.207472022627385,54.95680530077118,52.11166323960253,50.28231973997823,47.161109733668525,63.636145895281224,50.53341136211095,52.59811856661109,51.487462498680976,44.498657325490804,51.30864546829507,43.14873181143644,47.73612008148775,58.535886656721324,56.206154904316605,61.98485973238033,49.3847931969835,60.11913529921093,43.008026996087146,47.88808255611996,50.36201499462205,47.888082556119855,48.541612823516004,45.95440266653804,59.1468321054177,44.49803706987816,48.38633715948757,47.005107168386324,54.735131741697465,51.74245108502365,46.38305509329172,58.81274212386261,47.88808255612013,47.88441780366192,53.99756382004291,52.37582840212729,47.40420792405607,50.41159990326379,47.99296358156269,47.999543416065904,48.54161282351779,45.42254519004133,48.953483259491634,47.88808255612002,50.76413353440246,47.00059825833426,61.12575001724525,47.88808255611899,47.10888146105612,57.399848300563505,49.164430714431695,50.433697787373454,46.88792618899303,48.97137434452348,56.989505198432504,44.46880566233678,65.23975194870904,51.1579157945766,53.625744590130715,46.98457169731375,46.98189192661882,49.251371435224385,50.778924766188084,47.860561107413574,46.99283282076159,46.563507270245964,57.283465592723246,45.68918453807362,59.15624750349678,63.47548997394044,52.8318792896408
rxn05402_c,1.4176572370422855e-13,4.3984201335062693e-14,4.1083136587134307e-14,1.7619335656776178e-13,-2.7539915200931428e-14,-2.1323736104488318e-12,-3.590868328750778e-14,0.0,-6.461268703946958e-14,4.3902027199452993e-14,-2.1430999362256485e-13,1.249909267405485e-13,-2.0483629705227726e-14,-1.7776152233635952e-13,-9.399049959820589e-14,-4.728165046842376e-14,-9.514002821873841e-14,9.523365070522461e-14,0.0,1.2784655672922409e-14,1.1117618721711481e-13,8.13919662266008e-15,-1.742235704183942e-28,-4.40113618803461e-14,6.649407393752048e-14,2.2349546120877368e-13,1.1170446318169582e-13,-2.2054028259065313e-13,0.0,-1.4936626826393364e-13,-5.306200375763739e-29,3.0263474037604836e-14,8.019886526294371e-14,-1.72589350999963e-13,-2.899216935136786e-13,2.5020660074696073e-14,-5.895987571003824e-14,0.0,-8.348298629862626e-14,4.615183205726705e-14,2.5259893215614553e-14,-2.1511427586145926e-15,-3.8586136436901784e-13,-2.1951192087639013e-13,2.842329035647575e-14,-8.448365497392575e-14,-2.3352481967124608e-14,1.357349631044181e-13,-1.478295894059129e-14,-6.316032241618379e-14,-1.499924012587156e-13,0.0,0.0,-1.7949306011961512e-13,0.0,1.653942095621656e-14,-1.326889041538956e-13,3.5665471324324714e-28,3.549279291041271e-13,-1.256827429314518e-13,-6.275984176066599e-14,1.0076142903710337e-13,1.8749855556327973e-13,1.1123036143939622e-13,-2.6587331227192238e-14,6.827013147624365e-14,-1.9773697621529047e-14,-6.617082348366987e-13,6.441656570868263e-14,0.0,5.381862559989834e-13,-5.258828983652573e-16,2.2582562393950413e-13,6.43356500506287e-14,7.715645052740152e-14,3.1834934933797874e-14,-1.1610907953379165e-13,-1.1191493970243173e-13,-7.870051262822466e-15,2.2512270080616847e-14,0.0,-1.3371056403427236e-12,-2.437258765087831e-13,0.0,-4.173338617163607e-14,-8.502092021054684e-14,4.433863196153514e-13,1.1644546786423734e-14,-1.1051773495501679e-13,1.4880604039565389e-13,3.887201380023127e-14,-1.7982157980546915e-13,4.5040492856754334e-13,1.0843204594364273e-13,3.909307204263879e-15,-3.202451816245609e-14,-3.268868395336113e-13,-1.0428407041371126e-13,-6.04172395531636e-14,-2.6765761658803546e-14
rxn06728_c,48.05346213575322,48.52531359327662,51.828749125158446,49.97061261208269,50.11071072927259,45.37875499372238,50.90978136031613,76.036835662561,59.25696092159576,53.03915735128489,49.43184152896104,47.53129398677052,53.994355022607785,45.55208382428995,50.17735198576038,47.244514841512895,60.553787381219315,62.54258347122441,49.212101450336526,46.98501504680266,59.08650750586433,49.70623266835176,47.237835029538196,48.69986475025196,54.18759183879253,44.73826789562008,44.37304023179948,61.94166760370554,48.8961099891111,55.20747202262755,54.956805300771094,52.111663239602464,50.28231973997888,47.32088985038584,63.636145895280656,50.53341136210991,52.598118566611795,51.48746249868082,44.49865732549071,51.30864546829488,43.14873181143655,47.736120081487684,58.53588665672137,56.20615490431664,61.98485973238058,49.38479319698382,60.119135299212886,43.00802699608735,47.88808255611989,50.362014994622086,47.88808255611993,48.54161282351626,45.9624556241874,59.14683210542236,44.498037069878194,48.386337159487475,47.005107168386175,54.73513174169816,51.74245108502389,46.38305509329188,58.8127421238331,47.888082556119954,47.88441780366183,53.99756382004318,52.37582840212706,47.40420792405565,50.411599903264054,47.992963581565,47.9995434160658,48.54161282351635,45.4225451900412,49.037445606235366,47.88808255612042,50.76413353440264,47.00059825832593,61.125750017245146,47.888082556119286,47.10888146105593,57.39984830056729,49.164430714431674,50.43369778737316,46.88792618899309,48.97137434452349,56.98950519843284,44.468805662337154,65.23975194870945,51.15791579457764,53.625744590131305,46.98457169732011,46.981891926621415,49.251371435224456,50.77892476618795,47.86056110741358,46.9928328207616,46.57289393109952,57.283465592723296,45.689184538071984,59.15624750349672,63.47548997394047,52.83187928964097
rxn00957_c,48.05346213575908,48.52531359327662,51.828749125158446,49.97061261208248,50.110710729272455,45.37875499372238,50.90978136031618,76.03683566256093,59.25696092159578,53.039157351287166,49.43184152896107,47.53129398677052,53.994355022607785,45.55208382429001,50.17735198576038,47.244514841512895,60.553787381219315,62.54258347122423,49.21210145033673,46.985015046803156,59.08650750586433,49.70623266835176,47.237835029538225,48.69986475025222,54.18759183879253,44.73826789562008,44.37304023179948,61.941667603705504,48.8961099891111,55.20747202262755,54.956805300771094,52.111663239602535,50.28231973997893,47.32088985038587,63.63614589528054,50.53341136210991,52.598118566611795,51.48746249868082,44.49865732549071,51.30864546829488,43.14873181143655,47.736120081487684,58.53588665672154,56.206154904316705,61.98485973238058,49.38479319698378,60.119135299212886,43.00802699608841,47.88808255611989,50.362014994622086,47.88808255611993,48.5416128235163,45.9624556241874,59.146832105422426,44.49803706987818,48.386337159487375,47.005107168386175,54.735131741698034,51.74245108502389,46.38305509329188,58.81274212383331,47.888082556119954,47.88441780366183,53.99756382004297,52.37582840212706,47.40420792405565,50.41159990326408,47.99296358156506,47.9995434160658,48.5416128235164,45.42254519004115,49.037445606235366,47.88808255612042,50.764133534402596,47.00059825832593,61.125750017245124,47.88808255611909,47.108881461056065,57.39984830056799,49.16443071443153,50.43369778737322,46.88792618899309,48.97137434452345,56.98950519843284,44.468805662337154,65.23975194870945,51.1579157945777,53.62574459013145,46.98457169731983,46.981891926621415,49.251371435224456,50.77892476618796,47.86056110741356,46.9928328207616,46.572893931099486,57.283465592723324,45.689184538071984,59.15624750349687,63.47548997394047,52.83187928964089
rxn05149_c,7.59769898303011e-14,-1.8106959086712706e-13,1.5464406646413963e-14,4.522462817376107e-14,-4.780123266014885e-13,3.772746036873343e-14,-9.778101377243681e-14,0.0,1.4116893579379237e-13,3.4615429026954136e-15,-3.489188517412942e-13,1.7695906993658314e-14,2.386051285031739e-13,5.327821486803708e-14,-2.3971851307576292e-14,-2.633520892543418e-13,-1.2147559787561814e-13,-9.30875365085948e-13,-3.626681227398244e-13,2.7959132750756867e-13,6.93852926122248e-14,-2.4002967051592125e-13,5.828907249342589e-13,-2.1397366979831613e-14,1.8459435520877198e-13,4.573350755932557e-14,0.0,3.2577121445566025e-14,-1.6996456001804517e-15,2.649994600888716e-13,-2.576008022261628e-15,0.0,-2.902887990940235e-14,1.3994589722210282e-13,-3.70875625660903e-14,-1.2264888638783512e-13,1.8757328950643985e-13,-1.2379115163968046e-13,-1.1360223082543183e-13,-1.7299884761803204e-13,7.267421923876192e-15,1.529478275383985e-14,0.0,-2.6912797425714007e-14,3.758199500504726e-13,-8.468192546048573e-14,0.0,3.087337080858405e-12,-1.9999748184171756e-13,5.2877579575241517e-14,2.5500786056284082e-14,5.0013660308194145e-14,1.3508828059520433e-14,-1.6331513811280202e-13,-1.417734367174102e-14,1.0931843700036717e-13,1.4628948297689187e-29,-5.920287632694304e-14,7.072557590305798e-13,-3.3858677244429017e-13,-8.99720312908589e-14,2.6573171595685684e-13,2.40808030196327e-15,2.3249335678413943e-14,-9.628199169241292e-14,-6.990097959324923e-14,8.376461788929018e-14,-8.35551995167376e-15,-3.13122095070106e-13,-3.972850793278632e-29,-1.126380280529748e-12,-8.98654894092777e-15,5.135577869518577e-14,-4.510717500098029e-14,-1.09272552408724e-12,-9.309392645556549e-14,-7.769977877763323e-14,1.3623721494499598e-13,-4.638999111525106e-13,1.2005579146151861e-28,-3.739262853648389e-15,1.0236080025173114e-14,-3.1465396823546746e-14,9.32275113982934e-14,-8.978741462713195e-14,4.935227171952263e-13,8.939645541445982e-14,2.5031295044005633e-14,-3.1699520209146566e-13,2.964164114100318e-14,2.785900921513353e-13,0.0,3.445705321737342e-14,-1.0266464271984322e-13,3.6279095874280086e-14,-3.101878361309907e-14,-4.435328229796764e-14,2.1132344166905055e-14,3.8621765848956217e-14,2.420651304205383e-13
