,0
rxn00399_c_upper_bound,0.08560500170537577
rxn00399_c_lower_bound,0.07326564665173245
rxn03978_c_lower_bound,0.0726079220651133
rxn03978_c_upper_bound,0.06848578047398744
rxn03991_c_upper_bound,0.04838194058283199
rxn03991_c_lower_bound,0.044291643458274514
rxn12298_c_upper_bound,0.03860057052048732
rxn01919_c_lower_bound,0.03597611379314889
rxn04455_c_upper_bound,0.03319646911358012
rxn01919_c_upper_bound,0.030884490004152006
rxn12298_c_lower_bound,0.030675396877613028
rxn23629_c_upper_bound,0.02895038504688748
rxn04455_c_lower_bound,0.026519677479761385
rxn03750_c_upper_bound,0.02528256229919185
rxn03783_c_lower_bound,0.024544499624499977
rxn03750_c_lower_bound,0.021816686444211003
rxn03783_c_upper_bound,0.021127969829837282
rxn14209_c_lower_bound,0.01921954009647426
rxn07645_c_lower_bound,0.019109479139880536
rxn07645_c_upper_bound,0.017510456720595476
rxn14209_c_upper_bound,0.017074168768502644
rxn05488_c_lower_bound,0.01554833927153526
rxn05488_c_upper_bound,0.01085278850753247
rxn01927_c_upper_bound,0.008853737394690529
rxn02989_c_upper_bound,0.007509574543632578
rxn07524_c_upper_bound,0.007215514806055446
rxn07524_c_lower_bound,0.006770337025699138
rxn07523_c_upper_bound,0.006659982680707955
rxn07523_c_lower_bound,0.006330740126143527
rxn01825_c_lower_bound,0.004685161559198931
rxn03990_c_lower_bound,0.004225968578206902
rxn29994_c_lower_bound,0.004201116677455755
rxn00993_c_lower_bound,0.003518777078869055
rxn29994_c_upper_bound,0.0034852382446809806
rxn10960_c_lower_bound,0.0032026956606730117
rxn00155_c_lower_bound,0.003180308744996059
rxn10960_c_upper_bound,0.002951795625324456
rxn09106_c_upper_bound,0.002836072114395296
rxn00229_c_upper_bound,0.002803516561940819
rxn02276_c_lower_bound,0.002777260179150598
rxn00155_c_upper_bound,0.002720585080583002
rxn01822_c_lower_bound,0.002680190024065612
rxn16359_c_upper_bound,0.0026464623922618407
rxn01822_c_upper_bound,0.002635422898175061
rxn01327_c_lower_bound,0.0025570655265675494
rxn01327_c_upper_bound,0.0024766009278802425
rxn30550_c_upper_bound,0.002227233500507182
rxn03990_c_upper_bound,0.0022196252361457104
rxn02276_c_upper_bound,0.0022047525284960194
rxn09179_c_lower_bound,0.0021946821701099755
rxn30550_c_lower_bound,0.0021468784626444935
rxn00229_c_lower_bound,0.001940687375309572
rxn00993_c_upper_bound,0.0018536902866376809
rxn01825_c_upper_bound,0.0018391085283073355
rxn20627_c_lower_bound,0.0016880718898993872
rxn20627_c_upper_bound,0.0016798239310828343
rxn10818_c_lower_bound,0.0015144770281538043
rxn10818_c_upper_bound,0.0011749862548084686
rxn09179_c_upper_bound,0.0009899120744703276
rxn09997_c_lower_bound,0.000986066420108729
rxn01820_c_upper_bound,0.000947440508389329
rxn25799_c_upper_bound,0.0009381421533089703
rxn01072_c_upper_bound,0.0009281176288309222
rxn09429_c_upper_bound,0.000918844009165082
rxn01934_c_lower_bound,0.00085508282231661
rxn02403_c_upper_bound,0.0008412331428530414
rxn18959_c_lower_bound,0.0008387671678669875
rxn05291_c_upper_bound,0.0008357549636499466
rxn09997_c_upper_bound,0.0008297347633028534
rxn01188_c_upper_bound,0.0008201572280093202
rxn01256_c_upper_bound,0.0008074540908929329
rxn20495_c_upper_bound,0.0007755349091663047
rxn25799_c_lower_bound,0.0007203569907321139
rxn05291_c_lower_bound,0.0007192056064921456
rxn05487_c_upper_bound,0.000717894502502301
